idFermata,descrizioneFermata,latitudine,longitudine
04513105,"via Trisorio Liuzzi, 111",41.0591,16.8594
06138105,"Corso Benedetto Croce, 199",41.1093,16.8719
04104101,"via Prov. Ceglie - Adelfia ,km 2",41.0434,16.8634
04540002,"Via Vaccarella ang. Trav. Vaccarella",41.0711,16.8637
10205106,"Via Delle Magnolie di fronte ILCA",41.1093,16.7587
01201101,"Via Delle Azalee fronte civ.1/3",41.1588,16.7384
09556C01,"Corso V. Emanuele - Provvisoria",41.1259,16.8674
09146101,"Via Dante Alighieri - Provvisoria",41.1216,16.8621
06439101,"via Postiglione ,Agip",41.1138,16.8804
08561106,"C.so V. Veneto. fronte N.R. GdF",41.1298,16.8507
01011001,"via  G. Ancona, 13 - Coop. Arcob.",41.1514,16.7359
08278007,"Via Napoli, 322/A",41.1276,16.8429
02564102,"via Zippitelli ,di fronteVetr.Barbarossa",41.1094,16.8198
02564002,"Via Zippitelli, vetreria Barbarossa",41.1091,16.8199
06009007,"via  Amendola ang. Via Omodeo",41.1077,16.8852
01251001,"V.le E. Ferrari aeroporto partenze",41.1338,16.7636
05117006,"Via Complanare Ovest, civ. 92",41.0815,17.0222
03321103,"Via Lucarelli (Portici)",41.0932,16.8599
06249105,"Via Fanelli - Caserma C.C.",41.0959,16.8827
06061102,"Via Caduti del Lavoro,2 Oleif.Dentamaro",41.0893,16.8974
04102C00,"Via  Ceglie ,Ist. Agronomico (Capolinea)",41.0517,16.8788
05300101,"Via La Pira ,  4",41.1005,16.9012
02202101,"via Delle Camelie ,di fronte SKF",41.1089,16.7967
05021106,"Via Archimede ang. Via Caldarola",41.1057,16.8994
02202003,"via Delle Camelie ,12  SKF",41.1088,16.7968
06010101,"Complanare di via Amendola, 241",41.0879,16.8947
06193101,"Via della Costituente, 31",41.1042,16.8736
04559001,"Piazza Vitt. Emanuele, 15",41.0643,16.8663
01509101,"Via della tolleranza fronte galleria com",41.1492,16.7359
01310C00,"Via della lealtà cap",41.1487,16.737
01353101,"Via Iqbal Masih fronte scuola",41.1494,16.7389
10213001,"via Delle Violette, TIM",41.1049,16.7671
06006101,"Via Alberotanza, 14",41.0958,16.8717
08003102,"Via Adriatico, ang. Lung. Starita",41.1374,16.8409
07023101,"Bari, Via Anastasio Ballestrero ",41.1157,16.8956
01292101,"Via Indipendenza - Staz. FFSS",41.1513,16.7671
01098101,"Via Catino 48(Q.re S.Pio- Case PT)",41.151,16.7391
05477102,"strada S. Giorgio, 4",41.0933,16.9617
03283101,"piazza G. Cesare ,Policlinico",41.112,16.8625
02255101,"via Ferorelli ,di fronte C.E.D.I.",41.1102,16.8076
04285113,"via G. Petroni di fronte Clinica S.Rita",41.0888,16.8656
09099C02,"Corso Cavour, 209 Cap.",41.1193,16.8727
02210103,"V.le delle Regioni di fronte Don. Milani",41.1217,16.7879
06195C00,"Via della Resistenza, Superm. GS (Capolinea)",41.1054,16.8751
05410001,"Via Palasciano 8",41.1054,16.9216
01135003,"Lung.C.Colombo,246",41.1674,16.744
04513006,"via Trisorio Liuzzi, fronte via Di Cillo",41.0724,16.8616
08192001,"C.so Della Carboneria, difronte civ. 53",41.1251,16.8488
01494101,"Via Spilotros, 8",41.1551,16.7733
03393001,"viale O, Flacco ,ex Centrale del latte",41.1083,16.86
01503101,"Via M.llo Ranieri - fronte 30",41.1548,16.7772
10177001,"Via degli Oleandri di fronte BOSCH",41.1069,16.7852
04162104,"Corso Alcide De Gasperi, 503",41.084,16.869
02150105,"viale De Blasio, MAO",41.1129,16.7978
09289102,"Interno Porto Terminal Crociere",41.1371,16.8669
01087101,"Via Caravella, 13 Catino",41.1595,16.7375
04559101,"Piazza Vitt. Emanuele, 41",41.0641,16.8657
02241101,"Variante di Viale Europa- Euro Motel",41.1243,16.8195
05063006,"Via Caldarola, 13/A",41.1135,16.8868
05063007,"Via Caldarola fronte Chiesa",41.1089,16.893
05063008,"Via Caldarola fronte mercato coperto",41.1078,16.8957
05318003,"Via Loiacono fronte edicola",41.1034,16.9092
05008001,"Via Alpini d'Italia fronte civ. 12",41.1055,16.9193
05008002,"Via Alpini d'Italia ang. via Palasciano",41.105,16.921
05440C00,"Via S.Quasimodo chiesa Avventistica(cap)",41.1064,16.9206
05318104,"Via Loiacono edicola",41.1034,16.9093
05063108,"Via Caldarola mercato coperto",41.1079,16.8955
05063106,"Via Caldarola Scuola dell'infanzia",41.113,16.8875
05063107,"Via Caldarola ang.via dei Bersaglieri",41.1167,16.8832
02327001,"viale Lovri fronte Autolinee STP",41.111,16.8159
03417002,"viale Pasteur ang. Martiri d'Avola",41.1122,16.853
04550102,"via Vitt. Veneto, 67",41.0612,16.8666
05297104,"Viale Japigia, 88/B",41.1148,16.8939
10205002,"via Delle Magnolie ILCA",41.1093,16.7586
03285005,"via Giulio Petroni,104 Compr:Casoria",41.1001,16.8673
02037002,"Via Bonomo ang. Via Costantino",41.1319,16.8031
06138106,"Corso  Benedetto Croce ,267",41.1077,16.8718
03479102,"Via V. Sassanelli, 4",41.1012,16.8353
02057001,"via Cacudi ,Polifunzionale",41.1277,16.7914
06162007,"Corso A. De Gasperi, 278",41.0999,16.8713
06447002,"via Re David ,di fronte 191",41.1101,16.8767
02360002,"via Miglionico, di fronte al Civ 14",41.1253,16.7969
02301002,"Via La Rotella, Ang. V.le Europa",41.1239,16.8252
02150106,"viale De Blasio  ex EXPANSA",41.1127,16.7969
02057102,"via Cacudi ,ang. de Ribera",41.1275,16.7907
03094003,"Via Santa Caterina  svincolo Tangenziale",41.0937,16.8273
08555102,"Via Verdi (Cap.Piscine Comunali)",41.1334,16.8375
05021102,"via Archimede ,10di fronte Bar Tambone",41.1032,16.9047
