took,timed_out,_shards_total,_shards_successful,_shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_Data_buono,hits_hits__source_Id_buono,hits_hits__source_Id_distributore,hits_hits__source_Data_registraz,hits_hits__source_Tipo_buono,hits_hits__source_Id_bene,hits_hits__source_Qta_carburante,hits_hits__source_Km_percor,hits_hits__source_Km_attuali,hits_hits__source_Km_contakm,hits_hits__source_Prz_unit_carbur,hits_hits__source_Forzatura_ContaKM,hits_hits__source_Cambio_olio,hits_hits__source_KmCalcolati,hits_hits__source_KmInseriti,hits_hits__source_FuoriRange,hits_hits__source_ConsumoMedioBuonoCorrente,hits_hits__source_UltimoOperatore,hits_hits__source_UltimaModifica,hits_hits__source_Ora_buono,hits_hits__source_Data_quadratura,hits_hits__source_IdMovMag,hits_hits__source_IdRiga,hits_hits__source_Importato_Dal_Noleggio,hits_hits__source_Qta_quadratura,hits_hits__source_Trasferito,hits_hits__source_Id_Cliente,hits_hits__source_Ore_Incremento,hits_hits__source_Ore_Vita,hits_hits__source_Ore_ContaOre,hits_hits__source_ConsumoMedioOreBuonoCorrente,hits_hits__source_Tipo_Inserimento_Ore,hits_hits__source_Tipo_Inserimento_Km,hits_hits__source_FuoriRangeOre,hits_hits__source_Importato_Plus,hits_hits__source_Tipo_rilevazione,hits_hits__source_modello,hits_hits__source_riferimento
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","2096832800_1482126049_1480051",1.0,"2017-11-04T07:36:55.000+01:00",258655.0,"01_1","2017-11-13T07:36:55.000+01:00","P",7026.0,33.0,72.0,1027685.0,995920.0,0.0,false,false,995920.0,995920.0,false,2.181,"nl","2017-11-13T07:36:59.000+01:00","1899-12-30T07:36:55.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 382 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-851090779_1482126051_1480051",1.0,"2017-11-04T07:37:06.000+01:00",258657.0,"01_1","2017-11-13T07:37:06.000+01:00","P",7032.0,146.0,321.0,659529.0,659529.0,0.0,false,false,659529.0,659529.0,false,2.197,"nl","2017-11-13T07:37:20.000+01:00","1899-12-30T07:37:06.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 365 AS"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1506504644_1482126017_1480051",1.0,"2017-11-04T07:35:58.000+01:00",258644.0,"01_1","2017-11-13T07:35:59.000+01:00","P",5154.0,21.0,46.0,528224.0,950387.0,0.0,false,false,950387.0,950387.0,false,2.189,"nl","2017-11-13T07:36:01.000+01:00","1899-12-30T07:35:58.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IVECO 490 E2.10","AP 931 JJ"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1598848221_1482126052_1480051",1.0,"2017-11-04T07:37:20.000+01:00",258658.0,"01_1","2017-11-13T07:37:21.000+01:00","P",3016.0,165.0,363.0,751647.0,735768.0,0.0,false,false,735768.0,735768.0,false,2.2,"nl","2017-11-13T07:37:27.000+01:00","1899-12-30T07:37:20.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DE 160 XW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-1553612281_1482126859_1480052",1.0,"2017-11-04T07:42:24.000+01:00",258709.0,"01_2","2017-11-13T07:42:24.000+01:00","P",3028.0,159.0,349.0,617252.0,617252.0,0.0,false,false,617252.0,617252.0,false,2.193,"nl","2017-11-13T07:42:31.000+01:00","1899-12-30T07:42:24.000+01:00","2017-11-13T01:00:00.000+01:00",25172.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS Europolis","DE 172 XW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1956977830_1482125987_1480051",1.0,"2017-11-04T07:35:05.000+01:00",258635.0,"01_1","2017-11-13T07:35:06.000+01:00","P",7045.0,45.0,99.0,379182.0,379182.0,0.0,false,false,379182.0,379182.0,false,2.2,"nl","2017-11-13T07:35:09.000+01:00","1899-12-30T07:35:05.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","DB 378 AS"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-788431294_1482126022_1480051",1.0,"2017-11-04T07:36:24.000+01:00",258649.0,"01_1","2017-11-13T07:36:25.000+01:00","P",7008.0,29.0,63.0,697019.0,697019.0,0.0,false,false,697019.0,697019.0,false,2.172,"nl","2017-11-13T07:36:29.000+01:00","1899-12-30T07:36:24.000+01:00","2017-11-13T01:00:00.000+01:00",25171.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 177 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-723464984_1482126882_1480052",1.0,"2017-11-04T07:42:36.000+01:00",258711.0,"01_2","2017-11-13T07:42:36.000+01:00","P",7011.0,155.0,341.0,255700.0,255700.0,0.0,false,false,255700.0,255700.0,false,2.2,"nl","2017-11-13T07:42:39.000+01:00","1899-12-30T07:42:36.000+01:00","2017-11-13T01:00:00.000+01:00",25172.0,1.0,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 367 BW"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","-2102514303_1482127068_1480051",1.0,"2017-11-06T07:24:24.000+01:00",258771.0,"01_1","2017-11-24T07:24:25.000+01:00","P",5043.0,14.0,30.0,463690.0,463690.0,,false,false,463690.0,463690.0,false,2.141,"nl","2017-11-24T07:24:28.000+01:00","1899-12-30T07:24:24.000+01:00","2017-11-24T01:00:00.000+01:00",,,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IVECO 490 E2.12","AN 272 WM"
33.0,false,5.0,5.0,0.0,26753.0,1.0,"vw_amtab_consumi","default","1797630790_1482127069_1480051",1.0,"2017-11-06T07:24:29.000+01:00",258772.0,"01_1","2017-11-24T07:24:29.000+01:00","P",7008.0,30.0,66.0,697085.0,697085.0,,false,false,697085.0,697085.0,false,2.2,"nl","2017-11-24T07:24:32.000+01:00","1899-12-30T07:24:29.000+01:00","2017-11-24T01:00:00.000+01:00",,,false,0.0,false,1.0,0.0,0.0,0.0,0.0,"I","I",false,false,"K","IRISBUS 491","BY 177 BW"
